iter	Passed	Remaining
0	152	152324
1	157	78724
2	161	53823
3	167	41739
4	172	34284
5	177	29384
6	182	25935
7	188	23356
8	192	21210
9	196	19476
10	200	18027
11	204	16843
12	210	16001
13	215	15144
14	220	14504
15	226	13915
16	231	13365
17	235	12864
18	241	12451
19	244	11998
20	249	11614
21	253	11254
22	257	10953
23	261	10626
24	265	10336
25	268	10076
26	273	9865
27	278	9651
28	282	9449
29	286	9252
30	290	9093
31	294	8917
32	298	8744
33	302	8590
34	306	8460
35	310	8319
36	314	8181
37	318	8055
38	322	7947
39	327	7854
40	331	7756
41	336	7666
42	340	7578
43	344	7486
44	348	7391
45	352	7314
46	356	7238
47	360	7155
48	364	7077
49	368	7003
50	372	6934
51	376	6868
52	380	6805
53	386	6762
54	389	6699
55	393	6634
56	398	6589
57	403	6555
58	407	6500
59	411	6450
60	415	6398
61	420	6359
62	424	6307
63	427	6257
64	431	6209
65	434	6146
66	438	6100
67	441	6056
68	445	6016
69	449	5976
70	454	5943
71	458	5904
72	461	5865
73	465	5826
74	470	5802
75	474	5769
76	478	5733
77	482	5697
78	486	5666
79	489	5633
80	493	5599
81	497	5574
82	501	5545
83	505	5513
84	509	5483
85	513	5454
86	517	5426
87	520	5398
88	524	5370
89	529	5352
90	533	5328
91	537	5301
92	541	5283
93	545	5258
94	549	5234
95	553	5213
96	557	5192
97	561	5168
98	565	5145
99	569	5127
100	573	5105
101	577	5085
102	581	5065
103	585	5045
104	589	5024
105	593	5004
106	597	4984
107	601	4966
108	605	4948
109	610	4938
110	615	4931
111	626	4967
112	630	4951
113	635	4936
114	641	4934
115	650	4957
116	655	4944
117	660	4935
118	665	4923
119	670	4914
120	674	4900
121	680	4896
122	685	4885
123	689	4874
124	693	4857
125	698	4843
126	703	4832
127	708	4825
128	713	4817
129	718	4811
130	724	4804
131	728	4788
132	733	4779
133	739	4776
134	743	4761
135	748	4753
136	752	4742
137	756	4726
138	760	4711
139	765	4700
140	768	4684
141	772	4668
142	776	4655
143	780	4640
144	784	4625
145	788	4610
146	792	4596
147	795	4580
148	799	4568
149	804	4557
150	808	4545
151	812	4532
152	817	4523
153	820	4508
154	825	4500
155	830	4495
156	835	4487
157	840	4477
158	844	4466
159	850	4465
160	854	4455
161	859	4446
162	864	4437
163	869	4429
164	873	4419
165	877	4410
166	882	4400
167	886	4388
168	890	4377
169	894	4367
170	899	4360
171	903	4350
172	907	4339
173	912	4330
174	916	4320
175	920	4309
176	924	4297
177	928	4286
178	932	4276
179	937	4268
180	941	4258
181	946	4251
182	950	4241
183	954	4231
184	957	4220
185	961	4208
186	965	4197
187	969	4186
188	973	4176
189	978	4169
190	982	4162
191	987	4154
192	991	4145
193	997	4143
194	1001	4134
195	1006	4128
196	1011	4121
197	1016	4116
198	1021	4111
199	1025	4102
200	1030	4095
201	1034	4086
202	1038	4077
203	1042	4068
204	1046	4059
205	1051	4054
206	1056	4047
207	1060	4038
208	1065	4032
209	1070	4026
210	1074	4017
211	1078	4010
212	1082	4000
213	1087	3995
214	1091	3986
215	1096	3979
216	1101	3973
217	1105	3967
218	1110	3960
219	1115	3953
220	1119	3944
221	1123	3937
222	1128	3930
223	1132	3922
224	1137	3916
225	1143	3914
226	1147	3908
227	1153	3904
228	1157	3895
229	1162	3891
230	1166	3882
231	1170	3874
232	1174	3865
233	1178	3857
234	1182	3848
235	1186	3839
236	1189	3830
237	1195	3827
238	1199	3819
239	1203	3810
240	1207	3801
241	1211	3794
242	1217	3792
243	1221	3785
244	1225	3777
245	1229	3769
246	1233	3761
247	1237	3752
248	1241	3744
249	1245	3735
250	1249	3727
251	1253	3719
252	1256	3711
253	1263	3711
254	1267	3703
255	1272	3697
256	1277	3692
257	1282	3688
258	1287	3683
